Wall time,Step,Value
1736654427.44839,474,-0.7300000190734863
1736654738.6759493,2486,-0.6879340410232544
1736655059.3561578,4492,-0.688291609287262
1736655420.1796975,6711,-0.5799932479858398
1736655542.7994232,7463,-0.7300000190734863
1736655838.545839,9260,-0.7300000190734863
1736656119.3174071,10966,-0.7300000190734863
1736656283.0026135,11969,-0.7300000190734863
1736656957.0312095,16116,-0.7300000190734863
1736657597.171142,20062,-0.7300000190734863
1736657675.6169362,20539,-0.7300000190734863
1736657967.406235,22330,-0.7300000190734863
1736658354.4565651,24727,-0.7300000190734863
1736658439.5854208,25253,0.09744095802307129
1736659522.2919202,31936,-0.7299565672874451
1736659725.7946749,33181,-0.7300000190734863
1736660175.5908256,35953,-0.7300000190734863
1736660292.179324,36659,-0.7300000190734863
1736660472.884127,37764,-0.6899714469909668
1736660646.4941773,38840,-0.5650401711463928
1736661419.850728,43639,-0.5236446261405945
1736661476.9345284,43993,-0.5058379173278809
1736661865.7328193,46413,-0.6884192228317261
1736662919.326347,52906,1.1620368957519531
1736663509.2647445,56521,0.7124010324478149
1736663872.8857882,58746,-0.593163251876831
1736664816.3394816,64521,-0.7300000190734863
1736665185.250048,66787,-0.689842939376831
1736665222.3888197,67021,-0.6716377139091492
1736665290.9428906,67440,-0.6518170833587646
1736665816.3250232,70656,-0.6695940494537354
1736665942.0543797,71428,-0.7300000190734863
1736666200.3627493,73009,-0.6517161726951599
1736667401.5114458,80390,-0.7300000190734863
1736668165.5877955,85089,-0.5672743916511536
1736668440.9787319,86780,-0.7300000190734863
1736668454.1028697,86865,-0.6518152356147766
1736668540.8883293,87393,-0.5862531065940857
1736668663.8681943,88137,-0.6681035757064819
1736668862.285178,89363,-0.7300000190734863
1736669601.2922409,93901,-0.6903364062309265
1736669991.0597184,96301,-0.7300000190734863
1736670342.0449007,98474,-0.7099910378456116
1736670905.0675392,101943,-0.7300000190734863
1736671292.677224,104334,-0.7300000190734863
1736671525.4124193,105774,-0.43051043152809143
1736671859.1136131,107837,-0.7300000190734863
1736671979.9067786,108586,-0.6516152620315552
1736672422.414176,111323,-0.6516095399856567
1736673104.3756473,115518,-0.5823215246200562
1736673349.9815567,117047,-0.5127307176589966
1736673535.7171664,118190,-0.7096204161643982
1736674021.7070076,121192,-0.4714406132698059
1736675458.984512,130071,0.8961832523345947
1736675750.9669044,131876,-0.7098367810249329
1736676158.0721278,134389,-0.7102562189102173
1736676171.7955084,134474,0.0870203897356987
1736676974.7177777,139449,-0.42516252398490906
1736677059.9693184,139975,-0.7300000190734863
1736677072.8957434,140055,-0.40132537484169006
1736677184.234831,140750,-0.7300000190734863
1736677531.125275,142892,-0.7300000190734863
1736677756.2190583,144285,-0.3128128945827484
1736678145.0817065,146696,-0.6248502731323242
1736678802.8544042,150758,1.2362678050994873
1736678885.7389114,151276,-0.7300000190734863
1736679838.8965847,157130,0.7203742861747742
1736679918.856014,157623,-0.7300000190734863
1736680347.3246849,160252,-0.25414392352104187
1736680765.7390842,162789,-0.657828152179718
