Wall time,Step,Value
1736654427.44839,474,-0.5061727166175842
1736654738.6759493,2486,-0.7300000190734863
1736655059.3561578,4492,-0.7599999904632568
1736655420.1796975,6711,-0.6484413146972656
1736655542.7994232,7463,-0.7300000190734863
1736655838.545839,9260,-0.7300059795379639
1736656119.3174071,10966,-0.7300000190734863
1736656283.0026135,11969,-0.7300000190734863
1736656957.0312095,16116,-0.7300000190734863
1736657597.171142,20062,-0.7300000190734863
1736657675.6169362,20539,-0.6102267503738403
1736657967.406235,22330,-0.6665984392166138
1736658354.4565651,24727,-0.4772031903266907
1736658439.5854208,25253,-0.7300000190734863
1736659522.2919202,31936,-0.6693388819694519
1736659725.7946749,33181,-0.4403107166290283
1736660175.5908256,35953,-0.4477132558822632
1736660292.179324,36659,-0.7300000190734863
1736660472.884127,37764,-0.6896488666534424
1736660646.4941773,38840,-0.6897022724151611
1736661419.850728,43639,-0.7151685357093811
1736661476.9345284,43993,-0.6685800552368164
1736661865.7328193,46413,-0.6950715780258179
1736662919.326347,52906,-0.5688391923904419
1736663509.2647445,56521,-0.7300000190734863
1736663872.8857882,58746,-0.7300000190734863
1736664816.3394816,64521,-0.3673320710659027
1736665185.250048,66787,-0.7100226879119873
1736665222.3888197,67021,-0.7300000190734863
1736665290.9428906,67440,-0.7300000190734863
1736665816.3250232,70656,-0.6897062063217163
1736665942.0543797,71428,-0.7300230264663696
1736666200.3627493,73009,-0.690342366695404
1736667401.5114458,80390,-0.7300000190734863
1736668165.5877955,85089,-0.6293214559555054
1736668440.9787319,86780,-0.7300000190734863
1736668454.1028697,86865,-0.590444028377533
1736668540.8883293,87393,-0.7300000190734863
1736668663.8681943,88137,-0.6889538168907166
1736668862.285178,89363,-0.6692630648612976
1736669601.2922409,93901,-0.7103280425071716
1736669991.0597184,96301,-0.7102643847465515
1736670342.0449007,98474,-0.6287213563919067
1736670905.0675392,101943,-0.6667415499687195
1736671292.677224,104334,-0.7300000190734863
1736671525.4124193,105774,0.05480754375457764
1736671859.1136131,107837,-0.7063384652137756
1736671979.9067786,108586,-0.7097128629684448
1736672422.414176,111323,-0.6514828205108643
1736673104.3756473,115518,-0.5499133467674255
1736673349.9815567,117047,-0.6373312473297119
1736673535.7171664,118190,-0.6890401840209961
