Wall time,Step,Value
1736654427.44839,474,-1.966172695159912
1736654738.6759493,2486,-2.1282541751861572
1736655059.3561578,4492,-2.208291530609131
1736655420.1786997,6711,-1.9378479719161987
1736655542.7994232,7463,-2.1511311531066895
1736655838.5448425,9260,-1.9928784370422363
1736656119.3174071,10966,-1.990312099456787
1736656283.0026135,11969,-1.992492914199829
1736656957.0312095,16116,-2.0365209579467773
1736657597.171142,20062,-2.190000057220459
1736657675.6159394,20539,-2.0702266693115234
1736657967.406235,22330,-2.126598358154297
1736658354.4565651,24727,-1.9372031688690186
1736658439.5844195,25253,-1.1610838174819946
1736659522.2919202,31936,-1.842635989189148
1736659725.7946749,33181,-1.7823071479797363
1736660175.5908256,35953,-1.7085683345794678
1736660292.179324,36659,-2.190000057220459
1736660472.884127,37764,-1.8836092948913574
1736660646.4941773,38840,-1.8052400350570679
1736661419.850728,43639,-1.8120192289352417
1736661476.9345284,43993,-1.8835340738296509
1736661865.7318223,46413,-1.9529448747634888
1736662919.3253503,52906,-0.05531172826886177
1736663509.2647445,56521,-0.6462516784667969
1736663872.8857882,58746,-1.8583407402038574
1736664816.3394816,64521,-1.7453441619873047
1736665185.250048,66787,-1.823067307472229
1736665222.3878229,67021,-2.1112868785858154
1736665290.9428906,67440,-2.0306475162506104
1736665816.3240263,70656,-2.0891366004943848
1736665942.0543797,71428,-2.189970016479492
1736666200.3627493,73009,-1.99185311794281
1736667401.5114458,80390,-2.1497819423675537
1736668165.5877955,85089,-1.9066004753112793
1736668440.9787319,86780,-1.9082903861999512
1736668454.101873,86865,-1.9114941358566284
1736668540.8883293,87393,-2.046253204345703
1736668663.8681943,88137,-2.004587173461914
1736668862.285178,89363,-2.169077157974243
1736669601.2922409,93901,-2.1605169773101807
1736669991.0597184,96301,-2.1097543239593506
1736670342.0449007,98474,-1.96910560131073
1736670905.0675392,101943,-2.126875162124634
1736671292.677224,104334,-2.190000057220459
1736671525.4124193,105774,-0.9401026964187622
1736671859.1136131,107837,-2.1664040088653564
1736671979.9067786,108586,-2.050370693206787
1736672422.414176,111323,-1.8549697399139404
1736673104.3756473,115518,-1.5850015878677368
1736673349.9815567,117047,-1.6582437753677368
1736673535.7171664,118190,-2.067883014678955
1736674021.7070076,121192,-1.9314405918121338
1736675458.984512,130071,-0.5008097887039185
1736675750.9669044,131876,-2.099529266357422
1736676158.0721278,134389,-2.0903899669647217
1736676171.7955084,134474,-0.7091372609138489
1736676974.7177777,139449,-0.7071861028671265
1736677059.9683216,139975,-2.1700241565704346
1736677072.8957434,140055,-1.0979810953140259
1736677184.2338345,140750,-2.150167942047119
1736677531.125275,142892,-2.050595760345459
1736677756.2190583,144285,-1.211596965789795
1736678145.0817065,146696,-1.87428617477417
1736678802.8544042,150758,-0.06216857582330704
1736678885.7389114,151276,-2.150387763977051
1736679838.8965847,157130,0.00021600571926683187
1736679918.856014,157623,-2.1699838638305664
1736680347.3236883,160252,-1.2398072481155396
1736680765.7390842,162789,-1.8603672981262207
1736680848.1781712,163296,0.014430076815187931
1736681229.2030728,165597,-2.0989625453948975
1736681496.8844242,167234,-1.3199113607406616
1736682223.195029,171669,-0.7053337097167969
1736682435.490953,172972,0.17289672791957855
1736682455.8965752,173093,-0.7863636016845703
1736682533.7419617,173556,-1.4229178428649902
1736683372.8688996,178701,-1.652962327003479
1736684125.594529,183271,-1.6382218599319458
1736684178.0226974,183598,-1.325842022895813
1736684612.5211403,186232,-1.7660857439041138
1736684752.6332679,187090,0.20935744047164917
1736684760.35188,187140,-0.9125559329986572
1736685277.4288745,190338,-0.28630098700523376
1736686073.4235575,195297,-1.0081851482391357
1736686089.0882125,195400,-0.6342657804489136
1736686124.3277578,195619,-0.6305180788040161
1736686300.6281633,196726,-1.9688515663146973
1736686703.8492343,199287,0.3719995319843292
1736686851.411824,200211,-0.3525654375553131
1736687039.3383627,201401,-1.7829153537750244
1736687784.3575797,206110,-1.241574764251709
1736688197.9802494,208748,-1.6332679986953735
1736688227.6242712,208934,-1.9227780103683472
1736688390.6311233,209988,-0.6964758038520813
1736688422.8091645,210191,-0.46377086639404297
1736689327.425909,215953,-1.1985186338424683
1736689338.4544098,216023,-0.8504258394241333
1736689343.1201212,216052,0.10622117668390274
1736689629.15054,217867,0.6254074573516846
1736689885.7953277,219514,-0.2547849118709564
1736689940.09458,219861,-0.9379743337631226
1736690004.706564,220265,-0.27812400460243225
1736690512.3869479,223537,0.5251255631446838
1736690715.1354043,224845,-0.8359504342079163
1736690933.0861413,226247,-0.08378870785236359
1736690947.350402,226345,-0.9796040058135986
1736691111.4458237,227411,-1.1084518432617188
1736691398.163995,229290,-0.31452950835227966
1736691813.8200543,232060,-1.7083628177642822
1736692282.0795636,235215,-1.0726269483566284
1736692701.3627694,238047,-0.8072023987770081
1736692891.55289,239338,-0.05061034858226776
1736693002.9797776,240094,-0.8691921830177307
1736693215.6537294,241531,0.2715553939342499
1736693230.1327157,241629,0.568396270275116
1736693293.9480839,242064,0.4364166557788849
1736693335.2472932,242341,0.6928672790527344
1736693882.4811795,246050,1.3259207010269165
1736694100.4942338,247507,-0.34213995933532715
1736694318.5565827,248960,0.5212337374687195
1736694424.258025,249676,0.4392658472061157
1736694598.4573946,250869,0.6818475127220154
1736694665.8507876,251319,-0.1469767987728119
1736694776.3367212,252066,1.0163065195083618
1736694976.538723,253439,-1.1020822525024414
1736695491.8154347,256945,1.0821624994277954
1736696073.8641286,260953,1.2662221193313599
1736696296.6531394,262512,1.0770682096481323
1736696309.7512624,262598,1.740696668624878
1736696740.2190773,265601,-0.7216055989265442
1736697436.3744266,270593,-1.2051304578781128
1736697474.87958,270861,0.5203214287757874
1736697500.6348622,271052,0.6277527809143066
1736698376.2444499,277439,-0.3222087323665619
1736698570.673277,278879,1.1431843042373657
1736698594.2774622,279048,1.0607787370681763
1736699379.2129266,284886,0.2122393250465393
1736699465.2964537,285537,-1.9388210773468018
1736700749.6002982,295408,-0.23831436038017273
1736700771.96239,295573,1.4519151449203491
1736701241.317068,299168,-0.0961613729596138
1736701282.9968097,299485,2.886575937271118
1736702457.5241323,308411,1.3274879455566406
1736702536.7012682,309009,0.4139002561569214
1736702654.5055878,309916,-0.9668948650360107
1736703220.55199,314291,0.704647958278656
1736703333.9333174,315169,-0.08854983747005463
1736703788.3496437,318828,-0.20782871544361115
1736703861.5249372,319435,0.6016817092895508
1736703922.1454515,319941,0.6621589064598083
1736704096.1652894,321383,1.7646938562393188
1736704441.3783598,324304,1.1890041828155518
1736704485.5977006,324689,0.7426699995994568
1736705086.266702,330047,-0.009266991168260574
1736705117.3683653,330331,0.767448902130127
1736705184.9527671,330969,1.6815205812454224
1736705257.7754989,331638,-0.5054025650024414
1736705435.4552083,333257,0.7785125970840454
1736705565.0610797,334448,-0.01567228138446808
1736705773.5069947,336392,0.2878000736236572
1736706024.8152075,338736,1.0325523614883423
1736706042.0471725,338890,1.2095783948898315
1736706493.2017741,343065,0.7115135192871094
1736706670.939139,344721,2.019334554672241
1736706730.4802675,345279,1.8383839130401611
1736707044.3642983,348184,1.1376698017120361
1736707175.6052046,349354,0.1909724920988083
1736708290.1219983,359790,0.7219362854957581
